trial_id,epoch,accuracy,f1_weighted,train_loss,val_loss,lr,weight_decay,batch_size,dropout,optimizer,epochs,run_tag
1,1,0.48333333333333334,0.39856968380059254,1.8687688827514648,1.480835211277008,0.001,1e-05,12,0.2,sgd,3,20260508T140001Z
1,2,0.5375,0.48031867687201757,1.3817693397402764,1.3210530668497085,0.001,1e-05,12,0.2,sgd,3,20260508T140001Z
1,3,0.55,0.5091398382095313,1.2287788167595863,1.2794692248106003,0.001,1e-05,12,0.2,sgd,3,20260508T140001Z
2,1,0.45,0.39458270612935814,2.085216057300568,1.82294416030248,0.0003,0.0001,8,0.2,sgd,3,20260508T140001Z
2,2,0.4791666666666667,0.404332360461047,1.747158095240593,1.596445910135905,0.0003,0.0001,8,0.2,sgd,3,20260508T140001Z
2,3,0.48333333333333334,0.41041015501369077,1.5185076256593069,1.4913310647010802,0.0003,0.0001,8,0.2,sgd,3,20260508T140001Z
3,1,0.49583333333333335,0.4291097814856376,1.7338771209120751,1.4109796941280366,0.0003,0.0001,12,0.2,adamw,4,20260508T140001Z
3,2,0.5833333333333334,0.5517270788644169,1.3372653424739838,1.2814644277095795,0.0003,0.0001,12,0.2,adamw,4,20260508T140001Z
3,3,0.55,0.5106896149314194,1.1532715566456317,1.2692656338214874,0.0003,0.0001,12,0.2,adamw,4,20260508T140001Z
3,4,0.5958333333333333,0.5807166913896606,1.072062137722969,1.202241200208664,0.0003,0.0001,12,0.2,adamw,4,20260508T140001Z
4,1,0.4041666666666667,0.36083282964403113,2.108508248627186,1.8443658947944641,0.0003,1e-05,12,0.4,sgd,4,20260508T140001Z
4,2,0.44166666666666665,0.3594823440913372,1.8023132309317589,1.6322713255882264,0.0003,1e-05,12,0.4,sgd,4,20260508T140001Z
4,3,0.48333333333333334,0.4059521321856439,1.6037924975156783,1.5219013273715973,0.0003,1e-05,12,0.4,sgd,4,20260508T140001Z
4,4,0.5,0.4371159607359345,1.5077069044113158,1.4552373886108398,0.0003,1e-05,12,0.4,sgd,4,20260508T140001Z
5,1,0.42083333333333334,0.37170713026742275,2.163600817322731,1.87121262550354,0.0003,0.0001,12,0.4,sgd,3,20260508T140001Z
5,2,0.4708333333333333,0.38276378601073724,1.8322762742638588,1.647727483510971,0.0003,0.0001,12,0.4,sgd,3,20260508T140001Z
5,3,0.525,0.4444136122943049,1.630796353518963,1.5310707569122315,0.0003,0.0001,12,0.4,sgd,3,20260508T140001Z
6,1,0.37916666666666665,0.3500565493170125,2.1563544909159345,2.001126678784688,0.0003,1e-05,16,0.2,sgd,3,20260508T140001Z
6,2,0.4583333333333333,0.37312554733645126,1.8863675634066264,1.7748796383539835,0.0003,1e-05,16,0.2,sgd,3,20260508T140001Z
6,3,0.49166666666666664,0.39850742873827927,1.6737089176972708,1.6414571364720663,0.0003,1e-05,16,0.2,sgd,3,20260508T140001Z
