trial_id,accuracy,f1_weighted,lr,weight_decay,batch_size,dropout,optimizer,epochs,run_tag
1,1.0,1.0,0.001,1e-05,12,0.2,sgd,3,20260508T134931Z
2,1.0,1.0,0.0003,0.0001,8,0.2,sgd,3,20260508T134931Z
3,1.0,1.0,0.0003,0.0001,12,0.2,adamw,4,20260508T134931Z
4,1.0,1.0,0.0003,1e-05,12,0.4,sgd,4,20260508T134931Z
1,1.0,1.0,0.001,1e-05,12,0.2,sgd,3,20260508T135123Z
2,1.0,1.0,0.0003,0.0001,8,0.2,sgd,3,20260508T135123Z
3,1.0,1.0,0.0003,0.0001,12,0.2,adamw,4,20260508T135123Z
4,1.0,1.0,0.0003,1e-05,12,0.4,sgd,4,20260508T135123Z
3,0.5958333333333333,0.5807166913896606,0.0003,0.0001,12,0.2,adamw,4,20260508T140001Z
1,0.55,0.5091398382095313,0.001,1e-05,12,0.2,sgd,3,20260508T140001Z
5,0.525,0.4444136122943049,0.0003,0.0001,12,0.4,sgd,3,20260508T140001Z
4,0.5,0.4371159607359345,0.0003,1e-05,12,0.4,sgd,4,20260508T140001Z
2,0.48333333333333334,0.41041015501369077,0.0003,0.0001,8,0.2,sgd,3,20260508T140001Z
6,0.49166666666666664,0.39850742873827927,0.0003,1e-05,16,0.2,sgd,3,20260508T140001Z
